restaurant_name,restaurant_url,restaurant_phones,restaurant_reviewers_name,restaurant_reviewers_selection1
Buca di Beppo Italian Restaurant,https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=8600d195203d4cdf&signature=ba94d1231031faf78051d9e5b6ff476cf5ef8a4f54561650723d9877ea01df87&slot=0,(206) 244-2288,Christy K.,"I was a fan of buca but you need to control your delivery drivers. Please hire safe drivers that won't curse and scream out of their cars while making illegal turns in a buca vehicle. It was absolutely insane.
This is regarding an incident around noon on 5/30/19.
I was in a right turn lane on Howell and Boren turning, when the buca car pulled up next to me (from behind) in the middle no turn lane. Oncoming traffic made it impossible to make the turn for a bit, but seems like she got impatient.
She pulled up and started screaming obscenities, pulled up in the middle of the intersection, illegally blocking, then made an illegal turn while continuing to screech at me.
So angry Seattle driving, just in a buca car and on meth.
Not a great look.
Please sit down and have a conversation with your staff about driving like normal people.
I road rage too--everyone does from time to time. But your drivers endangered people around them, and that driver at noon today should not be driving for you, let alone on the road to begin with.
In terms of food, I did like the pasta month a couple months back. The pappardele was great. But it's not worth supporting a business that endangers peoples lives."
Buca di Beppo Italian Restaurant,https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=8600d195203d4cdf&signature=ba94d1231031faf78051d9e5b6ff476cf5ef8a4f54561650723d9877ea01df87&slot=0,(206) 244-2288,Mike L.,"Very italian decor, nice staff. Portion is huge, for family-style sharing. Parking is a bit difficult, need to go around to find it. And it doesn't help that there is lots of traffic during rush hours.
The food selection is good, salmon is good. If your birthday is nearby, then you get one big scoop of ice cream for free!"
Buca di Beppo Italian Restaurant,https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=8600d195203d4cdf&signature=ba94d1231031faf78051d9e5b6ff476cf5ef8a4f54561650723d9877ea01df87&slot=0,(206) 244-2288,Cristina G.,"I use to love this restaurant in Palo Alto, Washington DC, and downtown San Francisco across from the Intercontinental Hotel. Heck, I even would have given this location 3.5-4 stars a few years ago. However, on Monday, I came in with a friend and everything about our experience was lame.
They were understaffed to the extreme. It seemed like there was almost nobody working there. No greeter, one waitress...Our food took over 25 minutes to make. Further, I waited more than 15 minutes for my virgin Mojito. I ordered the chicken Limone. This has been my favorite dish at BDB for a long time. I was really disappointed with my dish. The portion of chicken was so small and it was completely flat taste-wise, (all butter with very little spice). The same was true for my Alfredo side. Thankfully, my friend ordered the spicy rigatoni. His dish was good and about a 4 -star."
Buca di Beppo Italian Restaurant,https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=8600d195203d4cdf&signature=ba94d1231031faf78051d9e5b6ff476cf5ef8a4f54561650723d9877ea01df87&slot=0,(206) 244-2288,Obsa A.,The worst customer service walked in there at 5:05 got my food at 6 o'clock Kept axing the server how long is the food going to take and she kept saying I don't know I don't cook the food she wouldn't even give me an estimate so after an hour looks like a manager brought our food and I ask him does it usually take one hour to serve food he goes no this tickets only been up for 25 minutes so now he is saying I'm making it so I asked him to bring the ticket and he told me thats not happening again I'll never go back there The worst experience I have ever had never again
Buca di Beppo Italian Restaurant,https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=8600d195203d4cdf&signature=ba94d1231031faf78051d9e5b6ff476cf5ef8a4f54561650723d9877ea01df87&slot=0,(206) 244-2288,Igor I.,"I've made an online order to this restaurant in Seattle using their own website. My food was never delivered and my credit card was charged. I've already call them 3 times, being personally in the place claiming my refund and I just hear ""we cannot do refunds locally, must be done by corporate"". And guess what, corporate never called me, I never got my refund. Run from this place, they take your money but don't deliver you food. Just ridiculous!
Update due to comment from Bucca di Beppo Customer Service:
Bucca di Beppo Customer Service, please don't lie in Yelp saying that you are concerned. I've already send a message using your website, already called Seattle restaurant manager 3 times, already gone personally in the restaurant once. And I just don't get my refund. Really, you guys have my contact, as I said I've already contacted you many times."
Buca di Beppo Italian Restaurant,https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=8600d195203d4cdf&signature=ba94d1231031faf78051d9e5b6ff476cf5ef8a4f54561650723d9877ea01df87&slot=0,(206) 244-2288,Brad J.,"This is a chain restaurant, very low quality food at an exorbitant price. It's not fun. It is cheap and sad, like going to a matinee in the mall. The food really sucks . Did I mention it is sad. It's just corporate garbage food. Just go to Olive Garden and save yourself some money. There is no charm or character to this soulless establishment, it makes me want to start planning my funeral."
Buca di Beppo Italian Restaurant,https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=8600d195203d4cdf&signature=ba94d1231031faf78051d9e5b6ff476cf5ef8a4f54561650723d9877ea01df87&slot=0,(206) 244-2288,Miguel C.,"Food of course was delicious, waitress wasn't in the pleasant of moods , everything else virtually *****"
Buca di Beppo Italian Restaurant,https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=8600d195203d4cdf&signature=ba94d1231031faf78051d9e5b6ff476cf5ef8a4f54561650723d9877ea01df87&slot=0,(206) 244-2288,Lee C.,"Brought the wife here opening time on a Monday. No reservation required. We always get the usual. Caprese Salad, Eggplant Parm, and Chicken Parm. The food was excellent as usual. This location recently moved. Much bigger space with views of the lake and city. The only thing missing is the Chefs table which the fire department declared illegal which is a shame. I've always wanted to sit there but oh well. I think the prices may have increased as well. If you want to have a great time, good food and atmosphere, I highly recommend. However....I had to make it a 4 star due to the price. Will definitely come again next time we are in the city."
Buca di Beppo Italian Restaurant,https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=8600d195203d4cdf&signature=ba94d1231031faf78051d9e5b6ff476cf5ef8a4f54561650723d9877ea01df87&slot=0,(206) 244-2288,Hanako M.,"For a family of 6, I always know that Buca can seat my entire family and understand how to serve a large group. Reservations can be made online. They also have an awesome takeout/ catering menu. I usually order a plate of calamari, garlic bread, 1 small entree and 2 large entrees and with 4 teenagers, I still have leftovers to take home!"
Buca di Beppo Italian Restaurant,https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=8600d195203d4cdf&signature=ba94d1231031faf78051d9e5b6ff476cf5ef8a4f54561650723d9877ea01df87&slot=0,(206) 244-2288,Nicole S.,"I don't normally write reviews, but I feel compelled to speak to the immaculate customer service and servitude I experienced during my dining experience. Fluffy (aka Greg) at the South Lake Union location made our experience. He was polite, thoughtful, humorous and forthright. I am very grateful for the wonderful service."
Zig Zag Cafe,https://www.yelp.com/adredir?ad_business_id=rgkwLKTmZdj72S1KmEkENg&campaign_id=auQV0j7XReVpZ9A8AZIQ1A&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fzig-zag-cafe-seattle-2&request_id=8600d195203d4cdf&signature=d114b9e72a4ee799a49655be64ea40e174c0f7b4a188a864fc26a859995bfddc&slot=1,(206) 625-1146,Jessica M.,"I was traveling alone for business and wanted a relaxed, upbeat place to grab dinner and a drink at the bar. This place fit the bill with great food and a fun vibe. The staff was very friendly and helpful, especially when they mailed the shopping bag I left behind back to me in Philadelphia.
I will definitely make sure to stop back in the next time I'm in town."
Zig Zag Cafe,https://www.yelp.com/adredir?ad_business_id=rgkwLKTmZdj72S1KmEkENg&campaign_id=auQV0j7XReVpZ9A8AZIQ1A&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fzig-zag-cafe-seattle-2&request_id=8600d195203d4cdf&signature=d114b9e72a4ee799a49655be64ea40e174c0f7b4a188a864fc26a859995bfddc&slot=1,(206) 625-1146,Jenny Z.,"Came here tonight for an impromptu dinner date and left very satisfied. This place, besides being slightly hard to find, is the cutest little nook in downtown Seattle. You feel as if you're in a completely different world vs the touristy pike place corridor.
We arrived around 6:55 PM and were pleasantly surprised it was still happy hour. The deal is actually quite good - $4 off cocktails! I ordered a mezcal cocktail (what's new?) and husband ordered old fashioned. We asked for them less sweet and they turned out great. Mine had a ginger syrup which was different vs most mezcal cocktails I've ordered!
For food, ordered brussel sprouts and beet deviled eggs to start, and split the mussels and burger for the mains. The brussel sprouts were recommended by the server. They were good, not great. Felt like I could make them myself and wouldn't order again for $12. The deviled egg was the perfect party in my mouth and something I had never tasted before! It had a slice of anchovy in it which sounds odd but tasted amazing. Burger was perfectly cooked with a nice crispy bun. The fries were cooked crisp to perfection. Mussels were in perhaps the best sauce I've ever had.
Overall food was so tasty, service was quick and attentive despite restaurant being completely full, and menu comprehensive! Will come back for sure - especially now that we know HH runs until 7 pm on weekdays!"
Zig Zag Cafe,https://www.yelp.com/adredir?ad_business_id=rgkwLKTmZdj72S1KmEkENg&campaign_id=auQV0j7XReVpZ9A8AZIQ1A&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fzig-zag-cafe-seattle-2&request_id=8600d195203d4cdf&signature=d114b9e72a4ee799a49655be64ea40e174c0f7b4a188a864fc26a859995bfddc&slot=1,(206) 625-1146,Vincent C.,"I came to Zig Zag for dinner and had a great experience in the end. My visit didn't start off great, though. The service was slow. On the night I was at Zig Zag, the restaurant was no more than 50% full. Nevertheless, I still waited nearly 25 minutes for my food.
That being said, the food was definitely worth the wait. I had the Wild Mushroom Farro, and it was the best farro I've ever had in my life! The flavor was completely balanced, with no one ingredient dominating the dish. I was also impressed with how they incorporated huckleberry into the dish. On top of that, the sauce - which I'm told was just vegetable stock with butter - was phenomenal. My only minor complaint was that some of the cauliflower was burnt. But the dish was so perfect in every other way that I can definitely overlook the cauliflower."
Zig Zag Cafe,https://www.yelp.com/adredir?ad_business_id=rgkwLKTmZdj72S1KmEkENg&campaign_id=auQV0j7XReVpZ9A8AZIQ1A&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fzig-zag-cafe-seattle-2&request_id=8600d195203d4cdf&signature=d114b9e72a4ee799a49655be64ea40e174c0f7b4a188a864fc26a859995bfddc&slot=1,(206) 625-1146,Yael G.,"Met a friend here for some cocktails and it was really nice. I appreciated the vibe and that it wasn't super crazy loud. We got to hang out at a standing table and order our first drink before a table opened up, but it wasn't long until one did even though it was Friday night. The drink selection was awesome, and everything we ordered was great (and cleverly named). We also enjoyed our reasonably priced olives and Marcona almonds... good food, great drinks, nice vibe..."
Zig Zag Cafe,https://www.yelp.com/adredir?ad_business_id=rgkwLKTmZdj72S1KmEkENg&campaign_id=auQV0j7XReVpZ9A8AZIQ1A&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fzig-zag-cafe-seattle-2&request_id=8600d195203d4cdf&signature=d114b9e72a4ee799a49655be64ea40e174c0f7b4a188a864fc26a859995bfddc&slot=1,(206) 625-1146,Melanie Y.,"Came here for a drink Saturday night.
Cool, chill, vibe. Super low key. Little bit hidden but follow the signs down the stairs. We didn't have to wait and were seated right away. We got two cocktails and be warned they are super strong.
They have a large selection of different kinds of drinks as well as a late night menu. We didn't try any of the food but it all looked amazing."
Zig Zag Cafe,https://www.yelp.com/adredir?ad_business_id=rgkwLKTmZdj72S1KmEkENg&campaign_id=auQV0j7XReVpZ9A8AZIQ1A&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fzig-zag-cafe-seattle-2&request_id=8600d195203d4cdf&signature=d114b9e72a4ee799a49655be64ea40e174c0f7b4a188a864fc26a859995bfddc&slot=1,(206) 625-1146,Susan R.,"Wow what a great find on a work trip! There's so many places to choose from right here in the Pike Place Market area. Lucky me, I landed at Zig Zag!
Service from Anna and Erin was spot on a dm fabulous. Technically, I believe Anna was my server yet Erin bought several things and was very attentive as well. It kinda worked as tag team service and that was just fabulous!
All the food was spot on, they had plenty of gluten-free options and the happy hour wine was very good.
My only complaint is that I ate way too much because the food was so great! My hotel is around one plus miles ...uphill. Ugh. It'll be good for me, right?!? Super good, I'll be back!"
Zig Zag Cafe,https://www.yelp.com/adredir?ad_business_id=rgkwLKTmZdj72S1KmEkENg&campaign_id=auQV0j7XReVpZ9A8AZIQ1A&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fzig-zag-cafe-seattle-2&request_id=8600d195203d4cdf&signature=d114b9e72a4ee799a49655be64ea40e174c0f7b4a188a864fc26a859995bfddc&slot=1,(206) 625-1146,Alex O.,"This place savings grace is there zig zag burger with the fried egg. That was absolutely delicious. The yolk just gushed out everywhere. Felt like I was eating a breakfast sandwich one minute and then the next second a bacon cheese burger. Also the cheese just oozed out of everywhere. Very delicious. The fries were a bit too salty for my taste though. Score: 5/5
Their snacks were very boring. The baguette with the cultured butter was good though. It comes toasted but my only compliant is that I eat too fast and the outside of the bread is too hard :(
The cheese platter was smelly!!!! It's not my cup of tea but I'm sure other people will love it"
Zig Zag Cafe,https://www.yelp.com/adredir?ad_business_id=rgkwLKTmZdj72S1KmEkENg&campaign_id=auQV0j7XReVpZ9A8AZIQ1A&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fzig-zag-cafe-seattle-2&request_id=8600d195203d4cdf&signature=d114b9e72a4ee799a49655be64ea40e174c0f7b4a188a864fc26a859995bfddc&slot=1,(206) 625-1146,Sidong H.,"As a tourist to Pike Market, it was fun to dig out this hidden gem. My bar tender friend suggest me here for cock tails. And yes, def a great spot for happy hour drinks then a walk around to enjoy the sunset.
The drink menu is huge, and the bartender is quite knowledgable about almost everything. I like the atmosphere too, as a weekday early evening, it's already a full house, towns of locals and tourists like me here for their happy hour.
I would def come back and try more items."
Zig Zag Cafe,https://www.yelp.com/adredir?ad_business_id=rgkwLKTmZdj72S1KmEkENg&campaign_id=auQV0j7XReVpZ9A8AZIQ1A&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fzig-zag-cafe-seattle-2&request_id=8600d195203d4cdf&signature=d114b9e72a4ee799a49655be64ea40e174c0f7b4a188a864fc26a859995bfddc&slot=1,(206) 625-1146,Tomoko R.,"What a hidden(?) gem!
Great cozy restaurant and their service was fantastic. Small selections of wines but they were really good wines and reasonable.
Ordered A charcuterie plate, fried oysters, burgers and mussels. The plate was so tasty and the meats were perfectly cured, their mousse was just melt in my mouth.
Mussels were so plumped and juicy. Creamy curry? Sauce was as good as mussels. Their burgers were seasoned right and right size. Not to small or big.
Fried oysters were my fave. Small size and sweet. Everything we ordered was just divine. I would go back there for HH next time. Sooo laidback vibes and the foods were excellent!!"
Zig Zag Cafe,https://www.yelp.com/adredir?ad_business_id=rgkwLKTmZdj72S1KmEkENg&campaign_id=auQV0j7XReVpZ9A8AZIQ1A&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fzig-zag-cafe-seattle-2&request_id=8600d195203d4cdf&signature=d114b9e72a4ee799a49655be64ea40e174c0f7b4a188a864fc26a859995bfddc&slot=1,(206) 625-1146,Erik B.,"Looking for a classy, undercover jazz cafe with dim lighting, friendly staff and sleek design that totally takes you away from everyday life? Your answer: Zig Zag Cafe. Skillfully tucked away from Pike's Place market, close to the waterfront, Zig Zag offered superbly crafted cocktails and the perfect aperitif options to take a breather prior to continuing our tour of the city.
The lighting is dimly lit with old antique bottles of wine (some unopened) and cozy red lighting that makes you feel stuck in time. Each table is decked out with a candle as humble chandeliers decorate the ceilings.
We ordered a dish of deliciously tasting green & black olives with the perfect amount of garlic and zest. Complimented by a dish of pita bread and heated hummus (spiced with paprika and garlic), the food was delicious! For my cocktail, I ordered an aperol spritz - aperol campari mixed with good quality prosecco and orange zest with enough punch to keep me going.
Overall outstanding dining experience. Highly recommend! A+"
Zig Zag Cafe,https://www.yelp.com/adredir?ad_business_id=rgkwLKTmZdj72S1KmEkENg&campaign_id=auQV0j7XReVpZ9A8AZIQ1A&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fzig-zag-cafe-seattle-2&request_id=8600d195203d4cdf&signature=d114b9e72a4ee799a49655be64ea40e174c0f7b4a188a864fc26a859995bfddc&slot=1,(206) 625-1146,Cassandra C.,"I had a great experience here. I've heard a lot of good things about Zig Zig and I'm so happy I've finally made my way there to experience it myself. I ate the fries and deviled eggs off their late night menu. I loved the sultry smokey ambiance and the bartender was great. I just loved watching the art that goes into crafting their perfect cocktails. I had a simple Moscow mule, perhaps next time I'll try one of their house cocktails. The deviled eggs were so yummy! Maybe I'll be back soon to try more food!"
Zig Zag Cafe,https://www.yelp.com/adredir?ad_business_id=rgkwLKTmZdj72S1KmEkENg&campaign_id=auQV0j7XReVpZ9A8AZIQ1A&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fzig-zag-cafe-seattle-2&request_id=8600d195203d4cdf&signature=d114b9e72a4ee799a49655be64ea40e174c0f7b4a188a864fc26a859995bfddc&slot=1,(206) 625-1146,Rica R.,Went with a small group of friends last night and we were seated pretty quickly. Drinks aren't super cheap but you definitely get your money's worth. Shared a squid pro quo and it was delicious. Only negative I would mention is that we were sitting near the door and it was a bit chilly.
